Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    61862     0.00     0.00  std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>::_M_next() const
  0.00      0.00     0.00    46713     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<unsigned int const, session_value> >::_M_ptr() const
  0.00      0.00     0.00    46713     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<unsigned int const, session_value> >::_M_addr() const
  0.00      0.00     0.00    46713     0.00     0.00  decltype ((get<0>)((forward<std::pair<unsigned int const, session_value> const&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<unsigned int const, session_value> const&>(std::pair<unsigned int const, session_value> const&) const
  0.00      0.00     0.00    46713     0.00     0.00  std::__detail::_Hash_code_base<unsigned int, std::pair<unsigned int const, session_value>, std::__detail::_Select1st, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> const*, unsigned long) const
  0.00      0.00     0.00    46713     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<unsigned int const, session_value> >::_M_v() const
  0.00      0.00     0.00    46713     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<unsigned int const, session_value> >::_M_valptr() const
  0.00      0.00     0.00    46713     0.00     0.00  unsigned int const& std::__pair_get<0ul>::__const_get<unsigned int const, session_value>(std::pair<unsigned int const, session_value> const&)
  0.00      0.00     0.00    46713     0.00     0.00  std::tuple_element<0ul, std::pair<unsigned int const, session_value> >::type const& std::get<0ul, unsigned int const, session_value>(std::pair<unsigned int const, session_value> const&)
  0.00      0.00     0.00    46713     0.00     0.00  std::pair<unsigned int const, session_value> const& std::forward<std::pair<unsigned int const, session_value> const&>(std::remove_reference<std::pair<unsigned int const, session_value> const&>::type&)
  0.00      0.00     0.00    46409     0.00     0.00  std::_Hashtable<unsigned int, std::pair<unsigned int const, session_value>, std::allocator<std::pair<unsigned int const, session_value> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>*) const
  0.00      0.00     0.00     9720     0.00     0.00  std::pair<unsigned int, session_value>&& std::forward<std::pair<unsigned int, session_value> >(std::remove_reference<std::pair<unsigned int, session_value> >::type&)
  0.00      0.00     0.00     6494     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> > >::_M_node_allocator()
  0.00      0.00     0.00     6494     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> >, true>::_S_get(std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> >, true>&)
  0.00      0.00     0.00     4236     0.00     0.00  IpsMatch::getRule(int)
  0.00      0.00     0.00     3240     0.00     0.00  std::__detail::_Node_iterator<std::pair<unsigned int const, session_value>, false, false>&& std::forward<std::__detail::_Node_iterator<std::pair<unsigned int const, session_value>, false, false> >(std::remove_reference<std::__detail::_Node_iterator<std::pair<unsigned int const, session_value>, false, false> >::type&)
  0.00      0.00     0.00     3240     0.00     0.00  session_value& std::forward<session_value&>(std::remove_reference<session_value&>::type&)
  0.00      0.00     0.00     3240     0.00     0.00  unsigned int& std::forward<unsigned int&>(std::remove_reference<unsigned int&>::type&)
  0.00      0.00     0.00     3240     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      0.00     0.00     3240     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00     2118     0.00     0.00  print_to_console(packet_t const*, unsigned char const*, int, int)
  0.00      0.00     0.00     2118     0.00     0.00  bin_to_hex(unsigned char const*, unsigned long, char*)
  0.00      0.00     0.00     2118     0.00     0.00  IpsLog::insert_log(unsigned char*, packet_t*, int)
